(0, 17, 1, 0)
(1, 17, 1, 0)
(1, 16, 1, 0)
(2, 16, 1, 0)
(3, 16, 1, 0)
(4, 16, 1, 0)
(5, 16, 1, 0)
(6, 16, 1, 0)
(7, 16, 1, 0)
(8, 16, 1, 0)
(9, 16, 1, 0)
(10, 16, 1, 0)
(11, 16, 1, 0)
(12, 16, 1, 0)
(13, 16, 1, 0)
(14, 16, 1, 0)
(15, 16, 1, 0)
(16, 16, 1, 0)
(17, 16, 1, 0)
(18, 16, 1, 0)
(19, 16, 1, 0)
(20, 16, 1, 0)
(21, 16, 1, 0)
(22, 16, 1, 0)
(23, 16, 1, 0)
(24, 16, 1, 0)
(25, 16, 1, 0)
(26, 16, 1, 0)
(27, 16, 1, 0)
(28, 16, 1, 0)
(29, 16, 1, 0)
(30, 16, 1, 0)
(31, 16, 1, 0)
(32, 16, 1, 0)
(33, 16, 1, 0)
(34, 16, 1, 0)
(35, 16, 1, 0)
(36, 16, 1, 0)
(37, 16, 1, 0)
(38, 16, 1, 0)
(39, 16, 1, 0)
(40, 16, 1, 0)
(41, 16, 1, 0)
(42, 16, 1, 0)
(41, 17, 1, 0)
(40, 17, 1, 0)
(39, 17, 1, 0)
(38, 17, 1, 0)
(37, 17, 1, 0)
(36, 17, 1, 0)
(35, 17, 1, 0)
(34, 17, 1, 0)
(33, 17, 1, 0)
(32, 17, 1, 0)
(31, 17, 1, 0)
(29, 17, 1, 0)
(28, 17, 1, 0)
(27, 17, 1, 0)
(26, 17, 1, 0)
(25, 17, 1, 0)
(24, 17, 1, 0)
(23, 17, 1, 0)
(22, 17, 1, 0)
(21, 17, 1, 0)
(20, 17, 1, 0)
(19, 17, 1, 0)
(18, 17, 1, 0)
(17, 17, 1, 0)
(16, 17, 1, 0)
(15, 17, 1, 0)
(14, 17, 1, 0)
(13, 17, 1, 0)
(12, 17, 1, 0)
(11, 17, 1, 0)
(10, 17, 1, 0)
(9, 17, 1, 0)
(8, 17, 1, 0)
(7, 17, 1, 0)
(6, 17, 1, 0)
(5, 17, 1, 0)
(4, 17, 1, 0)
(3, 17, 1, 0)
(2, 17, 1, 0)
(0, 16, 1, 0)
(42, 17, 1, 0)
(43, 17, 1, 0)
(43, 16, 1, 0)
(44, 16, 1, 0)
(45, 16, 1, 0)
(46, 16, 1, 0)
(46, 17, 1, 0)
(45, 17, 1, 0)
(44, 17, 1, 0)
(30, 17, 1, 0)
(1, 18, 1, 0)
(2, 18, 1, 0)
(3, 18, 1, 0)
(4, 18, 1, 0)
(0, 18, 1, 0)
(5, 18, 1, 0)
(6, 18, 1, 0)
(7, 18, 1, 0)
(8, 18, 1, 0)
(9, 18, 1, 0)
(10, 18, 1, 0)
(11, 18, 1, 0)
(12, 18, 1, 0)
(13, 18, 1, 0)
(14, 18, 1, 0)
(15, 18, 1, 0)
(16, 18, 1, 0)
(17, 18, 1, 0)
(18, 18, 1, 0)
(19, 18, 1, 0)
(20, 18, 1, 0)
(21, 18, 1, 0)
(22, 18, 1, 0)
(23, 18, 1, 0)
(40, 18, 1, 0)
(41, 18, 1, 0)
(42, 18, 1, 0)
(43, 18, 1, 0)
(44, 18, 1, 0)
(45, 18, 1, 0)
(46, 18, 1, 0)
(39, 18, 1, 0)
(38, 18, 1, 0)
(37, 18, 1, 0)
(36, 18, 1, 0)
(35, 18, 1, 0)
(34, 18, 1, 0)
(33, 18, 1, 0)
(32, 18, 1, 0)
(31, 18, 1, 0)
(30, 18, 1, 0)
(29, 18, 1, 0)
(28, 18, 1, 0)
(27, 18, 1, 0)
(26, 18, 1, 0)
(25, 18, 1, 0)
(24, 18, 1, 0)
(0, 15, 1, 0)
(0, 14, 1, 0)
(0, 13, 1, 0)
(0, 12, 1, 0)
(0, 11, 1, 0)
(0, 10, 1, 0)
(0, 9, 1, 0)
(0, 8, 1, 0)
(0, 7, 1, 0)
(0, 6, 1, 0)
(0, 5, 1, 0)
(0, 4, 1, 0)
(0, 3, 1, 0)
(0, 2, 1, 0)
(0, 1, 1, 0)
(0, 0, 1, 0)
(1, 0, 1, 0)
(2, 0, 1, 0)
(3, 0, 1, 0)
(4, 0, 1, 0)
(5, 0, 1, 0)
(6, 0, 1, 0)
(7, 0, 1, 0)
(8, 0, 1, 0)
(9, 0, 1, 0)
(10, 0, 1, 0)
(11, 0, 1, 0)
(12, 0, 1, 0)
(13, 0, 1, 0)
(14, 0, 1, 0)
(15, 0, 1, 0)
(16, 0, 1, 0)
(17, 0, 1, 0)
(18, 0, 1, 0)
(19, 0, 1, 0)
(20, 0, 1, 0)
(21, -1, 1, 0)
(22, -1, 1, 0)
(23, -1, 1, 0)
(24, -1, 1, 0)
(25, -1, 1, 0)
(26, -1, 1, 0)
(27, -1, 1, 0)
(28, -1, 1, 0)
(29, -1, 1, 0)
(30, -1, 1, 0)
(31, -1, 1, 0)
(32, -1, 1, 0)
(32, 0, 1, 0)
(31, 0, 1, 0)
(30, 0, 1, 0)
(29, 0, 1, 0)
(28, 0, 1, 0)
(27, 0, 1, 0)
(26, 0, 1, 0)
(25, 0, 1, 0)
(24, 0, 1, 0)
(23, 0, 1, 0)
(22, 0, 1, 0)
(21, 0, 1, 0)
(20, -1, 1, 0)
(19, -1, 1, 0)
(18, -1, 1, 0)
(17, -1, 1, 0)
(16, -1, 1, 0)
(15, -1, 1, 0)
(14, -1, 1, 0)
(13, -1, 1, 0)
(12, -1, 1, 0)
(11, -1, 1, 0)
(10, -1, 1, 0)
(9, -1, 1, 0)
